priority,barcode,product,odoo_category,shopify_state,days_since_first_stocked,in_store_rev_30d_EGP,in_store_gp_30d_EGP,units_30d,stock_on_hand,stock_at_cost_EGP,wave
1,5056080624068,طقم عربه طفل ميوز Toffee,Various,NOT_IN_SHOPIFY,123,191241,50941,12,5,48880,"Wave 2 — in stock, existing range"
2,1066295831099,GB5596TB Backpack + lunch bag + pencil case 17'',School,ACTIVE_UNPUBLISHED,55,74100,19500,19,2,4789,"Wave 1 — in stock, new arrival"
3,1066247418099,GB5631-1 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,61200,16105,18,1,2088,"Wave 1 — in stock, new arrival"
4,9325448246836,35457 SMASH علبه حفظ طعام غطاء فوشيا استانلس3 خانه 1.3 لتر,School,NOT_IN_SHOPIFY,26,61838,15667,35,1,1102,"Wave 1 — in stock, new arrival"
5,8364217982762,085/2025 دريفت كار شحن مساعدين,Toys (Consignment),NOT_IN_SHOPIFY,102,95675,14588,9,3,23112,"Wave 1 — in stock, new arrival"
6,1066247441099,GB5605 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,54400,14316,16,1,2088,"Wave 1 — in stock, new arrival"
7,6223003247638,Tank BTL move 550ml cotton candy G.box,Various,ACTIVE_UNPUBLISHED,83,63036,13601,84,65,32343,"Wave 1 — in stock, new arrival"
8,1063674874099, 005 Backpack + Pencil Case + Lunch Bag 16 Inch,School,ACTIVE_UNPUBLISHED,45,51840,12974,26,1,1250,"Wave 1 — in stock, new arrival"
9,1066671725099,573373 Backpack Minecraft on Design 17 Inch,School,ACTIVE_UNPUBLISHED,5,55447,12388,25,9,13050,"Wave 1 — in stock, new arrival"
10,1052885708099,T996 17-inch Backpack - Black - Astronaut Mars,School,ACTIVE_UNPUBLISHED,45,66872,11469,33,3,4290,"Wave 1 — in stock, new arrival"
11,6223003247652,Tank BTL Move 550ml Sky Blue,School,ACTIVE_UNPUBLISHED,369,68942,15188,91,60,29860,"Wave 2 — in stock, existing range"
12,1053123630099,[1053123630099] Lunch Box 1.65L - Turquoise,School,ACTIVE_UNPUBLISHED,751,81576,14821,125,1,454,"Wave 2 — in stock, existing range"
13,1063674873099, 005 Backpack + Pencil Case + Lunch Bag 16 Inch,School,ACTIVE_UNPUBLISHED,45,43740,10868,22,1,1250,"Wave 1 — in stock, new arrival"
14,1053123629099,[1053123629099] Lunch Box 1.65L - Blue,School,ACTIVE_UNPUBLISHED,751,80652,14464,124,5,2270,"Wave 2 — in stock, existing range"
15,1053123631099,[1053123631099] Lunch Box 1.65L - Fuchsia,School,ACTIVE_UNPUBLISHED,751,77789,13768,120,1,454,"Wave 2 — in stock, existing range"
16,1052885723099,T996 17-inch Backpack - Gray - Spider,School,ACTIVE_UNPUBLISHED,45,55420,10004,27,1,1430,"Wave 1 — in stock, new arrival"
17,5902533929269,29269 I-GROW 2 PROi-Size grey,Baby Essentials (Consignment),NOT_IN_SHOPIFY,83,59250,9974,4,4,42000,"Wave 1 — in stock, new arrival"
18,1063674852099, 004 Backpack + Pencil Case + Lunch Bag 18 Inch,School,ACTIVE_UNPUBLISHED,45,37800,9758,18,4,5200,"Wave 1 — in stock, new arrival"
19,9325448243811,07959  SMASH علبه حفظ طعام 1.8 لتر استانلس روز,School,ACTIVE_UNPUBLISHED,26,38036,9694,30,3,2367,"Wave 1 — in stock, new arrival"
20,1052898362099,401 Lunch Bag + Pencil Case - Aqua - Stitch,School,ACTIVE_UNPUBLISHED,34,56244,9317,58,4,2760,"Wave 1 — in stock, new arrival"
21,8412497313815,31381 ستور علبة سلاطة  مربعة  بلاستيك  1810 مللي  MINECRAFT,Various,ACTIVE_UNPUBLISHED,20,30116,8990,34,2,1025,"Wave 1 — in stock, new arrival"
22,1066247423099,GB5693T SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,33600,8842,8,1,2579,"Wave 1 — in stock, new arrival"
