vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
Ourkids Alnass,Clothing,Owned stock,HOLD,1626,1021,1318,81.1,92.7,34067864,13192873,38.7,25.7,4890862,0,2.7,4.27,2.8,2026-08-19,5,L7,116462,580993,1481240,22181894,8.1,21.8,0.37,0,0
Playmore,Clothing,Owned stock,STOP BUYING — work the stock down,3512,1982,1993,56.7,92.2,29543651,5285733,17.9,8.6,9682326,0,0.55,2.51,4.8,2026-08-19,5,L7,178183,1840600,7424078,34482827,40.4,8.8,4.62,3617846,0
Al Sayad,Clothing,Owned stock,HOLD,2279,920,1053,46.2,86.0,20926694,5904034,28.2,14.4,2954527,0,2.0,5.08,2.4,2026-08-23,1,L7,727756,1586177,2134913,16067191,11.6,9.3,1.25,0,0
Multicom,Baby Essentials,Owned stock,BUY MORE — starved,117,48,34,29.1,74.9,17746949,5041930,28.4,10.7,1446176,0,3.49,8.79,1.4,2026-08-13,11,L30,0,830467,2777136,11519027,36.0,24.4,1.47,0,1200703
Junior,Clothing,Owned stock,BUY MORE — starved,3341,1049,1071,32.1,90.3,14561254,3995919,27.4,17.7,1209788,0,3.3,8.73,1.4,2026-08-23,1,L7,119442,378783,600411,9330280,3.3,6.2,0.53,0,991323
I.Wear,Clothing,Owned stock,HOLD,1102,746,885,80.3,92.9,13982503,4501936,32.2,42.2,4048577,0,1.11,2.34,5.1,2026-07-09,46,L90,0,0,1920438,11616300,10.5,7.5,1.4,0,0
Cherries,Clothing,Owned stock,HOLD,2628,1236,1278,48.6,96.8,10274818,3633193,35.4,22.6,2893914,0,1.26,2.3,5.2,2026-08-23,1,L7,60000,60000,1458195,7467220,7.9,5.9,1.35,0,0
ELshenawy,Toys,Consignment,WIDEN — no capital at risk,2664,1144,702,26.4,66.3,10065751,2127050,21.1,8.7,0,1692232,,,,2026-07-29,26,L30,0,0,0,0,0.0,8.1,,0,0
Pompelo,Clothing,Consignment,WIDEN — no capital at risk,1319,1058,1156,87.6,98.3,9488728,2148571,22.6,9.3,0,2944108,,,,2026-08-24,0,L7,0,0,0,0,0.0,3.6,,0,0
King Costumes,Party,Consignment,RENEGOTIATE MARGIN,638,9,0,0.0,,7652799,1402018,18.3,15.7,0,3900,,,,2026-05-18,98,L180,0,0,0,0,0.0,32.5,,0,0
Awlad Farghaly,School,Owned stock,STOP BUYING — work the stock down,545,403,367,67.3,82.4,7579705,2416373,31.9,19.8,2602208,0,0.93,1.98,6.0,2026-08-06,18,L30,0,3983849,4224591,4515370,17.4,17.1,1.02,1311375,0
